TYPE OF RESIDENCE,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022,2022-2023,,,,,,,,,
"Double, triple, and quad room (standard minimum rate)","$14,520 ","$14,870 ","$15,270 ","$15,720 ","$16,160 ","$16,640 ","$16,840 ","$17,400 ",,,,,,,,,
Multiple-occupancy room in suite,"$15,060 ","$15,420 ","$15,890 ","$16,350 ","$16,820 ","$17,340 ","$17,540 ","$18,120 ",,,,,,,,,
Suite in 1019 Commonwealth Avenue or Kilachand Hall,"$15,730 ","$16,110 ","$16,590 ","$17,070 ","$17,560 ","$18,090 ","$18,290 ","$19,020 ",,,,,,,,,
Double room in suite in 33 Harry Agganis Way,"$16,490 ","$16,920 ","$17,430 ","$17,950 ","$18,480 ","$19,050 ","$19,520 ","$20,360 ",,,,,,,,,
Single without private bath,"$17,320 ","$17,740 ","$18,280 ","$18,810 ","$19,350 ","$19,940 ","$20,140 ","$20,930 ",,,,,,,,,
Single room in suite in 33 Harry Agganis Way,"$18,180 ","$18,650 ","$19,220 ","$19,790 ","$20,380 ","$21,010 ","$21,520 ","$22,440 ",,,,,,,,,
Single with private bath,"$18,220 ","$18,660 ","$19,230 ","$19,790 ","$20,360 ","$20,980 ","$21,180 ","$22,010 ",,,,,,,,,
Apartment with two or more students,"$12,490 ","$12,830 ","$13,240 ","$13,660 ","$14,070 ","$14,510 ","$14,510 ","$15,020 ",,,,,,,,,
Single room in an apartment,"$15,020 ","$15,430 ","$15,930 ","$16,430 ","$16,930 ","$17,460 ","$17,460 ","$18,070 ",,,,,,,,,
Single room in a four-person apartment in Student Village (10 Buick Street and 33 Harry Agganis Way),"$15,790 ","$16,220 ","$16,740 ","$17,250 ","$17,770 ","$18,320 ","$18,690 ","$19,440 ",,,,,,,,,
Single room in a two-person apartment in Student Village (10 Buick Street and 33 Harry Agganis Way),"$16,270 ","$16,720 ","$17,260 ","$17,790 ","$18,330 ","$18,900 ","$19,280 ","$20,050 ",,,,,,,,,
Apartment with one student,"$16,700 ","$17,160 ","$17,700 ","$18,250 ","$18,800 ","$19,380 ","$19,380 ","$20,060 ",,,,,,,,,
DORM Multiple-occupancy room in a suite in Kilachand Hall (reduced room rate due to contruction),,,,,,,,"$15,800 ",,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,